"roll_call_id","bill_id","session","roll_call_date","roll_call_desc","yea","nay","nv","absent","n_total","passed","roll_call_chamber","bill_title","bill_number","session_year","bill_url","pct_of_total","n_present","pct_of_present","final_vote","R_pct_of_present","D_pct_of_present","rc_unity_D","rc_unity_R","rc_mean_partisanship"
1487438,1964469,"2025-2025_3rd_Special_Session","2025-02-12","Senate Appropriations",12,6,0,1,19,1,"S","Immigration","S0002",2025,"https://legiscan.com/FL/bill/S0002/2025/X3",0.631578947368421,18,0.666666666666667,"N",1,0,1,1,1
1487528,1964467,"2025-2025_3rd_Special_Session","2025-02-12","House Budget Committee",22,8,0,1,31,1,"H","Immigration Guidance and Training Opportunities","H0005",2025,"https://legiscan.com/FL/bill/H0005/2025/X3",0.709677419354839,30,0.733333333333333,"N",1,0,1,1,1
1487584,1964472,"2025-2025_3rd_Special_Session","2025-02-12","House Budget Committee",22,8,0,1,31,1,"H","Immigration","H0003",2025,"https://legiscan.com/FL/bill/H0003/2025/X3",0.709677419354839,30,0.733333333333333,"N",1,0,1,1,1
1488606,1964469,"2025-2025_3rd_Special_Session","2025-02-13","Senate: Third Reading RCS#3",14,22,1,3,40,0,"S","Immigration","S0002",2025,"https://legiscan.com/FL/bill/S0002/2025/X3",0.35,36,0.388888888888889,"Y",0.153846153846154,1,1,0.846153846153846,0.888888888888889
1488621,1964468,"2025-2025_3rd_Special_Session","2025-02-13","Senate: Third Reading RCS#2",25,11,1,3,40,1,"S","Immigration","S0004",2025,"https://legiscan.com/FL/bill/S0004/2025/X3",0.625,36,0.694444444444444,"Y",0.961538461538462,0,1,0.961538461538462,0.972222222222222
1488727,1964469,"2025-2025_3rd_Special_Session","2025-02-13","Senate: Third Reading RCS#4",27,10,0,3,40,1,"S","Immigration","S0002",2025,"https://legiscan.com/FL/bill/S0002/2025/X3",0.675,37,0.72972972972973,"Y",1,0,1,1,1
1488753,1964470,"2025-2025_3rd_Special_Session","2025-02-13","House: Third Reading RCS#11",85,27,7,0,119,1,"H","Secretary of Homeland Security","S0006",2025,"https://legiscan.com/FL/bill/S0006/2025/X3",0.714285714285714,112,0.758928571428571,"Y",1,0,1,1,1
1488830,1964468,"2025-2025_3rd_Special_Session","2025-02-13","House: Third Reading RCS#12",85,29,5,0,119,1,"H","Immigration","S0004",2025,"https://legiscan.com/FL/bill/S0004/2025/X3",0.714285714285714,114,0.745614035087719,"Y",1,0,1,1,1
1489088,1964469,"2025-2025_3rd_Special_Session","2025-02-13","House: Third Reading RCS#13",85,30,4,0,119,1,"H","Immigration","S0002",2025,"https://legiscan.com/FL/bill/S0002/2025/X3",0.714285714285714,115,0.739130434782609,"Y",1,0,1,1,1
1482245,1918360,"2025-2025_Regular_Session","2025-02-04","House Student Academic Success Subcommittee",15,0,0,3,18,1,"H","Interscholastic Activities","H0151",2025,"https://legiscan.com/FL/bill/H0151/2025",0.833333333333333,15,1,"N",1,1,1,1,1
1483036,1902581,"2025-2025_Regular_Session","2025-02-05","House Industries & Professional Activities Subcommittee",12,4,0,2,18,1,"H","Pari-mutuel Wagering","H0105",2025,"https://legiscan.com/FL/bill/H0105/2025",0.666666666666667,16,0.75,"N",1,0,1,1,1
1486021,1951899,"2025-2025_Regular_Session","2025-02-11","Senate Environment and Natural Resources",9,0,0,0,9,1,"S","OGSR/Site-specific Location Information for Endangered and Threatened Species","S7000",2025,"https://legiscan.com/FL/bill/S7000/2025",1,9,1,"N",1,1,1,1,1
1486029,1892656,"2025-2025_Regular_Session","2025-02-11","Senate Environment and Natural Resources",9,0,0,0,9,1,"S","Nature-based Methods for Improving Coastal Resilience","S0050",2025,"https://legiscan.com/FL/bill/S0050/2025",1,9,1,"N",1,1,1,1,1
1486065,1894640,"2025-2025_Regular_Session","2025-02-11","Senate Environment and Natural Resources",9,0,0,0,9,1,"S","State Land Management","S0080",2025,"https://legiscan.com/FL/bill/S0080/2025",1,9,1,"N",1,1,1,1,1
1486153,1892690,"2025-2025_Regular_Session","2025-02-11","Senate Environment and Natural Resources",6,3,0,0,9,1,"S","Geoengineering and Weather Modification Activities","S0056",2025,"https://legiscan.com/FL/bill/S0056/2025",0.666666666666667,9,0.666666666666667,"N",1,0,1,1,1
1486164,1903465,"2025-2025_Regular_Session","2025-02-11","Senate Criminal Justice",8,0,0,1,9,1,"S","Abandoning Restrained Dogs During Natural Disasters","S0150",2025,"https://legiscan.com/FL/bill/S0150/2025",0.888888888888889,8,1,"N",1,1,1,1,1
1486167,1892861,"2025-2025_Regular_Session","2025-02-11","Senate Environment and Natural Resources",9,0,0,0,9,1,"S","Resilient Buildings","S0062",2025,"https://legiscan.com/FL/bill/S0062/2025",1,9,1,"N",1,1,1,1,1
1486293,1914959,"2025-2025_Regular_Session","2025-02-11","Senate Environment and Natural Resources",9,0,0,0,9,1,"S","Comprehensive Waste Reduction and Recycling Plan","S0200",2025,"https://legiscan.com/FL/bill/S0200/2025",1,9,1,"N",1,1,1,1,1
1486433,1896852,"2025-2025_Regular_Session","2025-02-11","Senate Governmental Oversight and Accountability",5,2,0,1,8,1,"S","Display of Flags by Governmental Entities","S0100",2025,"https://legiscan.com/FL/bill/S0100/2025",0.625,7,0.714285714285714,"N",1,0,1,1,1
1486453,1892666,"2025-2025_Regular_Session","2025-02-11","Senate Judiciary",10,0,0,1,11,1,"S","Foreclosure Procedures","S0048",2025,"https://legiscan.com/FL/bill/S0048/2025",0.909090909090909,10,1,"N",1,1,1,1,1
1486514,1894929,"2025-2025_Regular_Session","2025-02-11","House Health Professions & Programs Subcommittee",15,0,0,3,18,1,"H","Social Work Licensure Interstate Compact","H0027",2025,"https://legiscan.com/FL/bill/H0027/2025",0.833333333333333,15,1,"N",1,1,1,1,1
1486757,1894885,"2025-2025_Regular_Session","2025-02-11","House Health Professions & Programs Subcommittee",14,1,0,3,18,1,"H","Dental Therapy","H0021",2025,"https://legiscan.com/FL/bill/H0021/2025",0.777777777777778,15,0.933333333333333,"N",1,0.666666666666667,0.666666666666667,1,0.933333333333333
1486767,1894965,"2025-2025_Regular_Session","2025-02-11","House Health Professions & Programs Subcommittee",15,0,0,3,18,1,"H","Pub. Rec. and Meetings/Social Work Licensure Interstate Compact","H0029",2025,"https://legiscan.com/FL/bill/H0029/2025",0.833333333333333,15,1,"N",1,1,1,1,1
1487333,1901186,"2025-2025_Regular_Session","2025-02-11","Senate Criminal Justice",8,0,0,1,9,1,"S","Driving and Boating Offenses","S0138",2025,"https://legiscan.com/FL/bill/S0138/2025",0.888888888888889,8,1,"N",1,1,1,1,1
1487362,1898257,"2025-2025_Regular_Session","2025-02-11","Senate Criminal Justice",8,0,0,1,9,1,"S","Compensation of Victims of Wrongful Incarceration","S0130",2025,"https://legiscan.com/FL/bill/S0130/2025",0.888888888888889,8,1,"N",1,1,1,1,1
1487991,1947432,"2025-2025_Regular_Session","2025-02-11","Senate Governmental Oversight and Accountability",7,0,0,1,8,1,"S","Administrative Procedures","S0108",2025,"https://legiscan.com/FL/bill/S0108/2025",0.875,7,1,"N",1,1,1,1,1
1488139,1922154,"2025-2025_Regular_Session","2025-02-12","House Criminal Justice Subcommittee",17,0,0,1,18,1,"H","Education in Correctional Facilities for Licensed Professions","H0195",2025,"https://legiscan.com/FL/bill/H0195/2025",0.944444444444444,17,1,"N",1,1,1,1,1
1488176,1904632,"2025-2025_Regular_Session","2025-02-12","House Criminal Justice Subcommittee",16,1,0,1,18,1,"H","Fleeing or Attempting to Elude a Law Enforcement Officer","H0113",2025,"https://legiscan.com/FL/bill/H0113/2025",0.888888888888889,17,0.941176470588235,"N",1,0.8,0.8,1,0.941176470588235
1488845,1917016,"2025-2025_Regular_Session","2025-02-11","Senate Criminal Justice",7,1,0,1,9,1,"S","Criminal Offenses Against Law Enforcement Officers and Other Personnel","S0234",2025,"https://legiscan.com/FL/bill/S0234/2025",0.777777777777778,8,0.875,"N",1,0.666666666666667,0.666666666666667,1,0.875
1490018,1901151,"2025-2025_Regular_Session","2025-02-12","House Criminal Justice Subcommittee",17,0,0,1,18,1,"H","Probation for Misdemeanor Offenses","H0091",2025,"https://legiscan.com/FL/bill/H0091/2025",0.944444444444444,17,1,"N",1,1,1,1,1
1491707,1942180,"2025-2025_Regular_Session","2025-02-18","Senate Ethics and Elections",7,0,0,2,9,1,"S","Ethics","S0348",2025,"https://legiscan.com/FL/bill/S0348/2025",0.777777777777778,7,1,"N",1,1,1,1,1
1491715,1928340,"2025-2025_Regular_Session","2025-02-18","Senate Commerce and Tourism",7,0,0,2,9,1,"S","Limited Liability Companies","S0316",2025,"https://legiscan.com/FL/bill/S0316/2025",0.777777777777778,7,1,"N",1,1,1,1,1
1491746,1893312,"2025-2025_Regular_Session","2025-02-18","Senate Ethics and Elections",7,0,0,2,9,1,"S","Use of Campaign Funds for Child Care Expenses","S0072",2025,"https://legiscan.com/FL/bill/S0072/2025",0.777777777777778,7,1,"N",1,1,1,1,1
1491761,1897165,"2025-2025_Regular_Session","2025-02-18","Senate Education Pre-K - 12",8,0,0,0,8,1,"S","Exceptional Student Education","S0102",2025,"https://legiscan.com/FL/bill/S0102/2025",1,8,1,"N",1,1,1,1,1
1491768,1930818,"2025-2025_Regular_Session","2025-02-18","Senate Commerce and Tourism",7,0,0,2,9,1,"S","Licensure Requirements for Surveyors and Mappers","S0320",2025,"https://legiscan.com/FL/bill/S0320/2025",0.777777777777778,7,1,"N",1,1,1,1,1
1491844,1941927,"2025-2025_Regular_Session","2025-02-18","Senate Health Policy",9,0,0,1,10,1,"S","Public Records/Agency for Health Care Administration","S0342",2025,"https://legiscan.com/FL/bill/S0342/2025",0.9,9,1,"N",1,1,1,1,1
1491867,1897545,"2025-2025_Regular_Session","2025-02-18","Senate Community Affairs",7,0,0,1,8,1,"S","Regulation of Presidential Libraries","S0118",2025,"https://legiscan.com/FL/bill/S0118/2025",0.875,7,1,"N",1,1,1,1,1
1491887,1928691,"2025-2025_Regular_Session","2025-02-18","Senate Agriculture",5,0,0,1,6,1,"S","Ad Valorem Tax Exemption","S0318",2025,"https://legiscan.com/FL/bill/S0318/2025",0.833333333333333,5,1,"N",1,1,1,1,1
1491900,1915847,"2025-2025_Regular_Session","2025-02-18","Senate Agriculture",5,0,0,1,6,1,"S","Animal Cremation","S0210",2025,"https://legiscan.com/FL/bill/S0210/2025",0.833333333333333,5,1,"N",1,1,1,1,1
1492000,1924116,"2025-2025_Regular_Session","2025-02-18","Senate Health Policy",9,0,0,1,10,1,"S","Collaborative Pharmacy Practice for Chronic Health Conditions","S0294",2025,"https://legiscan.com/FL/bill/S0294/2025",0.9,9,1,"N",1,1,1,1,1
1492013,1963580,"2025-2025_Regular_Session","2025-02-18","Senate Regulated Industries",7,0,0,2,9,1,"S","Public Records and Meetings/NG911 Systems","S7006",2025,"https://legiscan.com/FL/bill/S7006/2025",0.777777777777778,7,1,"N",1,1,1,1,1
1492014,1904298,"2025-2025_Regular_Session","2025-02-18","Senate Health Policy",10,0,0,0,10,1,"S","Protection from Surgical Smoke","S0152",2025,"https://legiscan.com/FL/bill/S0152/2025",1,10,1,"N",1,1,1,1,1
1492031,1919924,"2025-2025_Regular_Session","2025-02-18","Senate Governmental Oversight and Accountability",7,0,0,1,8,1,"S","Public Records/Congressional Members and Public Officers","S0268",2025,"https://legiscan.com/FL/bill/S0268/2025",0.875,7,1,"N",1,1,1,1,1
1492085,1930979,"2025-2025_Regular_Session","2025-02-18","Senate Judiciary",9,0,0,1,10,1,"S","Property Rights","S0322",2025,"https://legiscan.com/FL/bill/S0322/2025",0.9,9,1,"N",1,1,1,1,1
1492123,1898276,"2025-2025_Regular_Session","2025-02-18","Senate Health Policy",10,0,0,0,10,1,"S","Prescription Hearing Aids","S0126",2025,"https://legiscan.com/FL/bill/S0126/2025",1,10,1,"N",1,1,1,1,1
1492211,1927762,"2025-2025_Regular_Session","2025-02-18","Senate Military and Veterans Affairs, Space, and Domestic Security",5,0,0,0,5,1,"S","Florida National Guard Increased Force Structure","S0314",2025,"https://legiscan.com/FL/bill/S0314/2025",1,5,1,"N",1,1,1,1,1
1492220,1919599,"2025-2025_Regular_Session","2025-02-18","Senate Health Policy",9,0,0,1,10,1,"S","Step-therapy Protocols","S0264",2025,"https://legiscan.com/FL/bill/S0264/2025",0.9,9,1,"N",1,1,1,1,1
1492235,1920769,"2025-2025_Regular_Session","2025-02-18","Senate Education Postsecondary",6,0,0,1,7,1,"S","Florida Bright Futures Scholarship Program","S0270",2025,"https://legiscan.com/FL/bill/S0270/2025",0.857142857142857,6,1,"N",1,1,1,1,1
1492381,1927189,"2025-2025_Regular_Session","2025-02-18","Senate Judiciary",9,1,0,0,10,1,"S","Public Records/Judicial Qualifications Commission","S0302",2025,"https://legiscan.com/FL/bill/S0302/2025",0.9,10,0.9,"N",0.875,1,1,0.875,0.9
1492432,1927008,"2025-2025_Regular_Session","2025-02-18","Senate Judiciary",9,1,0,0,10,1,"S","Public Records/Appellate Court Clerks and their Spouses and Children","S0300",2025,"https://legiscan.com/FL/bill/S0300/2025",0.9,10,0.9,"N",0.875,1,1,0.875,0.9
1492568,1922014,"2025-2025_Regular_Session","2025-02-18","Senate Transportation",8,0,0,1,9,1,"S","Transportation Facility Designations/Harris Rosen Way and Geraldine Thompson Way","S0274",2025,"https://legiscan.com/FL/bill/S0274/2025",0.888888888888889,8,1,"N",1,1,1,1,1
1492631,1909517,"2025-2025_Regular_Session","2025-02-18","Senate Regulated Industries",8,0,0,1,9,1,"S","Public Accountancy","S0160",2025,"https://legiscan.com/FL/bill/S0160/2025",0.888888888888889,8,1,"N",1,1,1,1,1
1492943,1963605,"2025-2025_Regular_Session","2025-02-18","Senate Environment and Natural Resources",7,0,0,2,9,1,"S","Water Management Districts","S7002",2025,"https://legiscan.com/FL/bill/S7002/2025",0.777777777777778,7,1,"N",1,1,1,1,1
1493381,1942733,"2025-2025_Regular_Session","2025-02-19","House Intergovernmental Affairs Subcommittee",17,0,0,1,18,1,"H","Compensation for Health Care Services for Inmates in Martin County","H4007",2025,"https://legiscan.com/FL/bill/H4007/2025",0.944444444444444,17,1,"N",1,1,1,1,1
1493558,1941318,"2025-2025_Regular_Session","2025-02-19","House Criminal Justice Subcommittee",15,3,0,0,18,1,"H","Withholding Funds from the Return of Cash Bonds","H0243",2025,"https://legiscan.com/FL/bill/H0243/2025",0.833333333333333,18,0.833333333333333,"N",0.769230769230769,1,1,0.769230769230769,0.833333333333333
1493842,1958195,"2025-2025_Regular_Session","2025-02-18","Senate Military and Veterans Affairs, Space, and Domestic Security",5,0,0,0,5,1,"S","Veterans","S0116",2025,"https://legiscan.com/FL/bill/S0116/2025",1,5,1,"N",1,1,1,1,1
1493875,1957959,"2025-2025_Regular_Session","2025-02-18","Senate Education Pre-K - 12",8,0,0,0,8,1,"S","Children with Developmental Disabilities","S0112",2025,"https://legiscan.com/FL/bill/S0112/2025",1,8,1,"N",1,1,1,1,1
1494090,1918834,"2025-2025_Regular_Session","2025-02-18","Senate Judiciary",9,0,0,1,10,1,"S","Trusts","S0262",2025,"https://legiscan.com/FL/bill/S0262/2025",0.9,9,1,"N",1,1,1,1,1
1494717,1941914,"2025-2025_Regular_Session","2025-02-19","House Intergovernmental Affairs Subcommittee",17,0,0,1,18,1,"H","Florida National Guard","H4005",2025,"https://legiscan.com/FL/bill/H4005/2025",0.944444444444444,17,1,"N",1,1,1,1,1
1494749,1942081,"2025-2025_Regular_Session","2025-02-18","Senate Regulated Industries",8,0,0,1,9,1,"S","Telecommunications Access System Act of 1991","S0344",2025,"https://legiscan.com/FL/bill/S0344/2025",0.888888888888889,8,1,"N",1,1,1,1,1
1494829,1911850,"2025-2025_Regular_Session","2025-02-18","Senate Community Affairs",7,0,0,1,8,1,"S","Housing","S0184",2025,"https://legiscan.com/FL/bill/S0184/2025",0.875,7,1,"N",1,1,1,1,1
1494906,1894915,"2025-2025_Regular_Session","2025-02-18","Senate Transportation",7,1,0,1,9,1,"S","Utility Terrain Vehicles","S0088",2025,"https://legiscan.com/FL/bill/S0088/2025",0.777777777777778,8,0.875,"N",1,0.5,NA,1,1
1494937,1897317,"2025-2025_Regular_Session","2025-02-19","House Criminal Justice Subcommittee",17,0,0,1,18,1,"H","Compensation of Victims of Wrongful Incarceration","H0059",2025,"https://legiscan.com/FL/bill/H0059/2025",0.944444444444444,17,1,"N",1,1,1,1,1
1495072,1963716,"2025-2025_Regular_Session","2025-02-18","Senate Community Affairs",7,0,0,1,8,1,"S","OGSR/Applicants or Participants in Certain Federal, State, or Local Housing Assistance Programs","S7004",2025,"https://legiscan.com/FL/bill/S7004/2025",0.875,7,1,"N",1,1,1,1,1
1495184,1946447,"2025-2025_Regular_Session","2025-02-19","House Civil Justice & Claims Subcommittee",17,1,0,0,18,1,"H","Suits Against the Government","H0301",2025,"https://legiscan.com/FL/bill/H0301/2025",0.944444444444444,18,0.944444444444444,"N",1,0.8,0.8,1,0.944444444444444
1495303,1915804,"2025-2025_Regular_Session","2025-02-19","House Civil Justice & Claims Subcommittee",18,0,0,0,18,1,"H","Relief/Marcus Button/Pasco County School Board","H6507",2025,"https://legiscan.com/FL/bill/H6507/2025",1,18,1,"N",1,1,1,1,1
1495363,1902126,"2025-2025_Regular_Session","2025-02-20","House Health Care Facilities & Systems Subcommittee",17,0,0,2,19,1,"H","Protection from Surgical Smoke","H0103",2025,"https://legiscan.com/FL/bill/H0103/2025",0.894736842105263,17,1,"N",1,1,1,1,1
1495430,1939864,"2025-2025_Regular_Session","2025-02-20","House Health Care Facilities & Systems Subcommittee",15,2,0,2,19,1,"H","Electronic Monitoring Devices in Long-term Care Facilities","H0223",2025,"https://legiscan.com/FL/bill/H0223/2025",0.789473684210526,17,0.882352941176471,"N",1,0.6,0.6,1,0.882352941176471
1496493,1941318,"2025-2025_Regular_Session","2025-02-19","House Criminal Justice Subcommittee",15,3,0,0,18,1,"H","Withholding Funds from the Return of Cash Bonds","H0243",2025,"https://legiscan.com/FL/bill/H0243/2025",0.833333333333333,18,0.833333333333333,"N",0.769230769230769,1,1,0.769230769230769,0.833333333333333
1503173,1923039,"2025-2025_Regular_Session","2025-03-03","Senate Banking and Insurance",10,0,0,0,10,1,"S","Warranty Associations","S0282",2025,"https://legiscan.com/FL/bill/S0282/2025",1,10,1,"N",1,1,1,1,1
1503225,1971020,"2025-2025_Regular_Session","2025-03-03","Senate Environment and Natural Resources",9,0,0,0,9,1,"S","Vessel Accountability","S0164",2025,"https://legiscan.com/FL/bill/S0164/2025",1,9,1,"N",1,1,1,1,1
1503239,1917185,"2025-2025_Regular_Session","2025-03-03","Senate Commerce and Tourism",8,0,0,1,9,1,"S","Debt Collection","S0232",2025,"https://legiscan.com/FL/bill/S0232/2025",0.888888888888889,8,1,"N",1,1,1,1,1
1503248,1942321,"2025-2025_Regular_Session","2025-03-03","Senate Agriculture",6,0,0,0,6,1,"S","Farm Products","S0374",2025,"https://legiscan.com/FL/bill/S0374/2025",1,6,1,"N",1,1,1,1,1
1503253,1963822,"2025-2025_Regular_Session","2025-03-03","Senate Agriculture",6,0,0,0,6,1,"S","Dangerous Dogs","S0572",2025,"https://legiscan.com/FL/bill/S0572/2025",1,6,1,"N",1,1,1,1,1
1503316,1927121,"2025-2025_Regular_Session","2025-03-03","Senate Education Pre-K - 12",6,1,0,2,9,1,"S","Middle School and High School Start Times","S0296",2025,"https://legiscan.com/FL/bill/S0296/2025",0.666666666666667,7,0.857142857142857,"N",0.8,1,1,0.8,0.857142857142857
1503321,1975511,"2025-2025_Regular_Session","2025-03-03","Senate Education Pre-K - 12",7,0,0,2,9,1,"S","Administrative Efficiency in Public Schools","S0166",2025,"https://legiscan.com/FL/bill/S0166/2025",0.777777777777778,7,1,"N",1,1,1,1,1
1503332,1947986,"2025-2025_Regular_Session","2025-03-03","Senate Commerce and Tourism",8,0,0,1,9,1,"S","Repair of Motorized Wheelchairs","S0412",2025,"https://legiscan.com/FL/bill/S0412/2025",0.888888888888889,8,1,"N",1,1,1,1,1
1503347,1943586,"2025-2025_Regular_Session","2025-03-03","Senate Environment and Natural Resources",9,0,0,0,9,1,"S","Trust Funds for Wildlife Management","S0388",2025,"https://legiscan.com/FL/bill/S0388/2025",1,9,1,"N",1,1,1,1,1
1503353,1942300,"2025-2025_Regular_Session","2025-03-03","Senate Education Pre-K - 12",7,0,0,2,9,1,"S","Holocaust Remembrance Day","S0356",2025,"https://legiscan.com/FL/bill/S0356/2025",0.777777777777778,7,1,"N",1,1,1,1,1
1503384,1895701,"2025-2025_Regular_Session","2025-03-03","Senate Commerce and Tourism",8,0,0,1,9,1,"S","Motor Vehicle Safety","S0092",2025,"https://legiscan.com/FL/bill/S0092/2025",0.888888888888889,8,1,"N",1,1,1,1,1
1503397,1964335,"2025-2025_Regular_Session","2025-03-03","Senate Banking and Insurance",10,0,0,0,10,1,"S","My Safe Florida Condominium Pilot Program","S0592",2025,"https://legiscan.com/FL/bill/S0592/2025",1,10,1,"N",1,1,1,1,1
1503418,1903465,"2025-2025_Regular_Session","2025-03-03","Senate Agriculture",6,0,0,0,6,1,"S","Abandoning Restrained Dogs During Natural Disasters","S0150",2025,"https://legiscan.com/FL/bill/S0150/2025",1,6,1,"N",1,1,1,1,1
1503437,1893073,"2025-2025_Regular_Session","2025-03-03","Senate Community Affairs",6,0,0,2,8,1,"S","Health Facilities","S0068",2025,"https://legiscan.com/FL/bill/S0068/2025",0.75,6,1,"N",1,1,1,1,1
1503631,1963432,"2025-2025_Regular_Session","2025-03-03","Senate Agriculture",5,1,0,0,6,1,"S","Chemical Additives in Food Products","S0560",2025,"https://legiscan.com/FL/bill/S0560/2025",0.833333333333333,6,0.833333333333333,"N",1,0.5,NA,1,1
1503687,1975386,"2025-2025_Regular_Session","2025-03-03","Senate Community Affairs",6,0,0,2,8,1,"S","Rural Communities","S0110",2025,"https://legiscan.com/FL/bill/S0110/2025",0.75,6,1,"N",1,1,1,1,1
1503883,1964238,"2025-2025_Regular_Session","2025-03-03","Senate Commerce and Tourism",7,0,0,2,9,1,"S","Manufacturing","S0600",2025,"https://legiscan.com/FL/bill/S0600/2025",0.777777777777778,7,1,"N",1,1,1,1,1
1503889,1981409,"2025-2025_Regular_Session","2025-03-03","Senate Banking and Insurance",10,0,0,0,10,1,"S","OGSR/Department of Financial Services","S7010",2025,"https://legiscan.com/FL/bill/S7010/2025",1,10,1,"N",1,1,1,1,1
1503905,1981248,"2025-2025_Regular_Session","2025-03-03","Senate Banking and Insurance",10,0,0,0,10,1,"S","OGSR/Financial Technology Sandbox","S7008",2025,"https://legiscan.com/FL/bill/S7008/2025",1,10,1,"N",1,1,1,1,1
1503906,1964260,"2025-2025_Regular_Session","2025-03-03","Senate Commerce and Tourism",7,0,0,2,9,1,"S","Fees/Florida Manufacturing Promotional Campaign","S0602",2025,"https://legiscan.com/FL/bill/S0602/2025",0.777777777777778,7,1,"N",1,1,1,1,1
1503914,1898276,"2025-2025_Regular_Session","2025-03-03","Senate Commerce and Tourism",8,0,0,1,9,1,"S","Prescription Hearing Aids","S0126",2025,"https://legiscan.com/FL/bill/S0126/2025",0.888888888888889,8,1,"N",1,1,1,1,1
1504141,1921139,"2025-2025_Regular_Session","2025-03-03","Senate Ethics and Elections",8,0,0,1,9,1,"S","Candidate Qualification","S0280",2025,"https://legiscan.com/FL/bill/S0280/2025",0.888888888888889,8,1,"N",1,1,1,1,1
1504148,1915759,"2025-2025_Regular_Session","2025-03-03","Senate Community Affairs",6,0,0,2,8,1,"S","Tax Exemption for Disabled Ex-servicemembers","S0218",2025,"https://legiscan.com/FL/bill/S0218/2025",0.75,6,1,"N",1,1,1,1,1
1504153,1943534,"2025-2025_Regular_Session","2025-03-03","Senate Community Affairs",6,0,0,2,8,1,"S","Annexing State-owned Lands","S0384",2025,"https://legiscan.com/FL/bill/S0384/2025",0.75,6,1,"N",1,1,1,1,1
1504472,1982521,"2025-2025_Regular_Session","2025-03-04","Senate Health Policy",10,0,0,0,10,1,"S","Quality of Care in Nursing Homes","S0170",2025,"https://legiscan.com/FL/bill/S0170/2025",1,10,1,"N",1,1,1,1,1
1504551,1942180,"2025-2025_Regular_Session","2025-03-04","Senate Military and Veterans Affairs, Space, and Domestic Security",6,0,0,0,6,1,"S","Ethics","S0348",2025,"https://legiscan.com/FL/bill/S0348/2025",1,6,1,"N",1,1,1,1,1
1504685,1958912,"2025-2025_Regular_Session","2025-03-04","House Health Care Facilities & Systems Subcommittee",17,0,0,1,18,1,"H","Background Screening of Athletic Coaches","H0431",2025,"https://legiscan.com/FL/bill/H0431/2025",0.944444444444444,17,1,"N",1,1,1,1,1
